course_name,session_length,num_sessions_per_week,is_large_class,10_percent_rule_exempted,is_a_TA_session,mustOnDays,start_time,end_time,Note
200,50,3,1,0,0,MWF,-,15:20,"200 has 9 TA sessions, 5 TAs, all on TR"
200AA,50,2,0,0,1,TR,-,17:20,
200AB,50,2,0,0,1,TR,-,17:20,
200AC,50,2,0,0,1,TR,-,17:20,
200AD,50,2,0,0,1,TR,-,17:20,
200AE,50,2,0,0,1,TR,-,17:20,
200AF,50,2,0,0,1,TR,-,17:20,
200AG,50,2,0,0,1,TR,-,17:20,
200AH,50,2,0,0,1,TR,-,17:20,
200AI,50,2,0,0,1,TR,-,17:20,
210,50,3,0,0,0,-,-,15:20,
212,110,2,0,0,0,-,-,16:20,
233,50,3,1,0,0,-,-,15:20,"233 has 6 TA sessions, 2 TAs, all on R"
233AA,50,1,0,0,1,R,-,17:20,
233AD,50,1,0,0,1,R,-,17:20,
233AE,50,1,0,0,1,R,-,17:20,
233AF,50,1,0,0,1,R,-,17:20,
233AG,50,1,0,0,1,R,-,17:20,
233AH,50,1,0,0,1,R,-,17:20,
234,50,3,0,0,0,-,-,15:20,
242,50,3,0,0,0,-,-,15:20,
269,50,3,0,0,0,-,10:30,15:20,"269 has 3 sessions, 1 TA, must meet on R"
269AA,50,1,0,0,1,R,-,17:20,
269AB,50,1,0,0,1,R,-,17:20,
269AC,50,1,0,0,1,R,-,17:20,
400,110,2,0,0,0,-,-,16:20,
403,110,2,0,0,0,-,-,16:20,
412,110,2,0,0,0,-,-,16:20,
430,110,2,0,0,0,-,-,16:20,
432/532,110,2,0,0,0,-,-,15:20,
433/533,110,2,0,0,0,-,-,15:20,
441/541,110,2,0,0,0,-,-,15:20,
442/542,110,2,0,0,0,-,-,15:20,
449/549,110,2,0,0,0,-,-,16:20,
450/550,110,2,0,0,0,-,-,15:20,
450AA,50,1,0,0,1,R,-,15:20,"on Thurs only, 1 session, ideally after 450 lecture time."
451/551,110,2,0,0,0,-,-,15:20,
452/552,110,2,0,0,0,-,-,15:20,
453/553,110,2,0,0,0,-,-,15:20,
461/561,110,2,0,0,0,-,-,16:20,
462,110,2,0,0,0,-,-,16:20,
471,110,2,0,0,0,-,-,16:20,
472,110,2,0,0,0,-,-,16:20,
472AA,50,1,0,0,1,-,-,17:20,"need to check frequency and length"
478/578,110,2,0,0,0,-,-,15:20,
479/579,110,2,0,0,0,-,-,15:20,
481/581,110,2,0,0,0,-,-,15:20,
507,110,2,0,0,0,-,-,15:20,
520,110,2,0,0,0,-,-,15:20,
534,110,2,0,0,0,-,-,15:20,
535,110,2,0,0,0,-,-,16:20,
566,80,2,0,0,0,-,-,16:50,"566 and 567 are not exempted from the 10% rule"
567,80,2,0,0,0,-,15:30,16:50,
570,80,2,0,1,0,-,13:00,15:20,
571,80,2,0,1,0,-,10:00,15:20,
572,80,2,0,1,0,-,13:30,15:20,
573,80,2,0,1,0,-,10:00,15:20,
574,80,2,0,1,0,-,10:00,15:20,
575-guest1,140,1,0,1,0,-,15:30,17:50,
575-guest2,140,1,0,1,0,-,15:30,17:50,
575-guest3,140,1,0,1,0,-,15:30,17:50,
575-Ben,140,1,0,1,0,-,15:30,17:50,
575-Lev,140,1,0,1,0,-,15:30,17:50,
575-Ste,140,1,0,1,0,-,15:30,17:50,
575-Xia,140,1,0,1,0,-,15:30,17:50,"575 are all exempted from 10% rule?"
580-Che,140,1,0,0,0,-,15:30,17:50,
580-Cit,140,1,0,0,0,-,15:30,17:50,
580-Eva,140,1,0,0,0,-,15:30,17:50,
580-Fer,140,1,0,0,0,-,15:30,17:50,
580-Har,140,1,0,0,0,-,15:30,17:50,
580-Hed,140,1,0,0,0,-,15:30,17:50,
580-Lap,140,1,0,0,0,-,15:30,17:50,
580-Ogi,140,1,0,0,0,-,15:30,17:50,
580-Was,140,1,0,0,0,-,15:30,17:50,
580-Wri,140,1,0,0,0,-,15:30,17:50,
580-TBA,140,1,0,0,0,-,15:30,17:50,
599A,140,1,0,0,0,F,15:30,17:50,
599B,50,1,0,0,0,-,-,-,
